huc,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
HUC180400030403,165.821761471386,5282.36476255233,69.2784731487766,2.15219883281911,0.326686977413786,0.00619766695178591,326.686977413787,0.335440634676791,21.2993229643182,1.79548733097242,28.9617056431133,88.7471790179927,110.140155373301,1526,255
HUC180400030404,245.492331971355,4638.5166327823,132.249473226451,2.47495786632887,0.53915470266493,0.00830708344849995,539.15470266493,0.22757495787553,3.42853340803253,5.17159321683827,71.9149058989548,14.2855558668022,17.7291645793561,1405,125
HUC180400030405,229.861218110394,3806.8955474119,166.242740042138,2.21893028163129,0.506005887605675,0.0136084410132438,506.005887605675,0.224956034634606,32.3041198854102,6.37226857766743,40.077153877867,16.4818296837108,20.4548618027865,1106,256
HUC180400030501,891.226905632045,220.173708925825,224.191347177203,0.390827138529061,1.24109861320515,0.00304967514695727,1241.09861320515,0.00338933244689715,0.00396799896222105,1.01679973406914,1.25144582654664,0.0577812750456708,0.213670297726912,4,0
HUC180400030502,352.081201168772,8847.52403769888,72.0063260725648,3.39807162901205,0.722768247693114,0.247038422031125,722.768247693114,0.0983946881350793,2.64464989662767,4.45602263073088,2.83415829650342,55.8188574205928,55.8588190353308,637,874
HUC180400030503,119.867723481184,1793.32877650915,15.2107671496925,0.36019652452671,0.162835183652092,0.00664646949966214,162.835183652092,0.0707693603235583,0.556339160817568,0.448898335992569,0.573027803630209,10.9635245735567,10.9713735365313,0,87
HUC180400030504,278.486773326443,5537.81482889619,30.1458524641766,1.6024382532508,0.320075746571023,0.395418640892369,320.075746571023,0.184717177256732,1.64373342255312,1.0070486657906,3.9764002669035,23.3688778792067,23.385608033456,444,165
HUC180400030601,161.322193276095,6796.74807557209,42.7783890244371,3.31202260600324,0.232279918582612,0.293813242784749,232.279918582612,0.570195189865811,2.64246633181343,2.98491539637454,9.28586352102304,33.1615418794086,33.1852827587805,737,401
HUC180400030602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUC180400030603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUC180400030604,11.1833467963138,10.3223687977152,3.28227547373255,0.00494573753812384,0.0118247333501018,8.04054912154461e-05,11.8247333501018,0.00147573015733343,0.000781293392860053,0.149620929423659,0.364220091054163,0.000586466669822506,0.0113190231812324,0,0
HUC180400030605,172.221566908076,6034.82277575514,45.0408331192774,3.25492821933934,0.27494596357088,0.0392233878008441,274.94596357088,0.219525081792467,2.40870945607695,2.22412257076857,4.18538611757711,34.9153745110677,34.9403709873325,458,321
HUC180400030701,233.497005133988,548.624431959722,6.15984719475631,0.0257301135830175,0.415708080656373,0.00588766877288126,415.708080656373,0.0306514189281376,0.00718722926590813,7.22986759947924,17.5995634135895,0.0314090116983335,0.0459938717507671,16,0
