pesticide,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
CYPRODINIL,355.13054527772,5415.74564367461,39.3380599049786,1.14008304804296,0.55988464717872,0.0540543414007258,559.88464717872,0.0163228464336011,0.178809363204448,0.0151300230403764,0.0051022126984408,0,0,0,0
DDVP,0.479547075006869,0.0247986518000521,0,0,2.28602043293893e-14,0,2.28602043293893e-11,0,0,0,0,0,0,0,0
"DDVP, OTHER RELATED",0.000115536630862035,5.10209335839395e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
DEET,0.000169112160555527,1.47995978207472e-05,8.56991313098781e-06,7.37764537187749e-12,1.57834288849466e-07,3.68090508709855e-14,0.000157834288849466,1.20195135076968e-10,1.14265508413171e-10,0,0,0,0,0,0
"DEET, OTHER RELATED",8.63541668738031e-06,7.78924964423247e-07,9.54151810347275e-07,8.21407822936206e-13,8.05953189465613e-09,0,8.05953189465613e-06,1.33822133288538e-11,1.27220241379637e-11,0,0,0,0,0,0
DELTAMETHRIN,0.0265123946919213,0.00660282804965488,7.75836575366793e-07,5.43128001265143e-10,3.17234428924092e-05,1.15352699000875e-08,0.0317234428924092,5.17224383577862e-06,1.38542245601213e-06,1.65071611780169e-06,1.91564586510319e-06,1.98932455222255e-08,1.01439215202178e-05,0,0
DIAZINON,140.229343045629,534.759901267992,32.3041198854102,0.267467514065055,0.266658511895079,0.00293087662879361,266.658511895079,0.0104206838340033,32.3041198854102,0.00504751873209534,0,1.40452695153957,0,840,2
DICAMBA,0.0162022002326882,0.00436564453175102,0.320969824585656,0.000143233367751939,2.35112927578066e-05,1.88581437611545e-09,0.0235112927578066,3.24703919661767e-06,7.82853230696723e-06,3.68930832857076e-06,1.00303070183018e-05,0,0,0,0
"DICAMBA, DIMETHYLAMINE SALT",7.30565773704341,62.6041584967388,29.5997560375382,0.887877804530988,0.00565904278173254,2.04570290162536e-05,5.65904278173254,6.05931546316032e-05,3.7875567546434e-05,0.000340227080891243,0.000924992376173067,0,0,0,0
"DICAMBA, DIMETHYLAMINE SALT, OTHER RELATED",0.00357089104713304,0.0696012849336914,0.54707332886652,0.000181262364758456,2.12553241665928e-06,3.0589613458914e-08,0.00212553241665928,2.15722921477334e-06,1.33432519235737e-05,6.28819918237379e-06,1.70960415270788e-05,0,0,0,0
"DICAMBA, SODIUM SALT",0.338929854336204,28.8031617649489,11.4695843773856,0.325558718870566,0.000373699470839139,2.56400586209397e-06,0.373699470839139,4.52270677341703e-05,0.000662981755918242,0.00013183430318834,0.0003584245117933,0,0,0,0
DICOFOL,4.59484087269091e-06,3.98274455144816e-06,1.15272453586914e-07,3.2715255041442e-10,9.72685011868194e-09,1.53182119581306e-13,9.72685011868194e-06,2.2602441879787e-10,8.23374668477956e-10,1.53696604782552e-09,0,0,0,0,0
DIFENOCONAZOLE,229.798069022748,4628.88148091097,18.1474495093633,0.605456894173488,0.431325297115223,0.0279467145132171,431.325297115223,0.0164976813721485,0.0235681162459264,0.567107797167604,0.00725897980374533,0.0235681162459264,0.638000690835351,0,0
DIFLUBENZURON,11.7607539158211,9.49101755824807,0.702344450040407,0.00218127896328561,0.0327822508280177,5.54746828856728e-05,32.7822508280177,0.00540264961569544,0.270132480784772,3.51172225020203e-05,0.00369654973705477,0.0270132480784772,0.306280045438501,0,0
DIMETHOATE,62.6994582968314,751.704696340883,79.1663178514853,4.91511039405472,0.110265380073891,0.0121272855155565,110.265380073891,0.00262140125336044,0.0395831589257427,0.000875733604551829,0.000854927838568956,61.3692386445623,61.4131738661845,0,5140
DIMETHOMORPH,163.91499565225,225.575531878008,37.3178392733966,0.319580301603524,0.187347997543076,0.0345290499908994,187.347997543076,0.00611767856940928,0.00185660891907446,0.0012780081942944,0.0373178392733966,0,0,0,0
DINOTEFURAN,35.116372820028,380.223011551414,157.706420412953,2.46871462384329,0.0697534999042772,0.00405208862253424,69.7534999042772,0.00157706420412953,0.000162869379751061,0.00157706420412953,0.00143369473102684,6.57110085053969,6.57585154305873,0,234
DITHIOPYR,33.107426999695,59.0006626416574,6.04239669765328,0.0773100845352241,0.0753499063340589,0.000370793269022118,75.3499063340589,0.0167844352712591,0.000431599764118092,0.302119834882664,0,0,0,0,0
DIURON,349.866235655008,9246.4338776209,131.801263364398,7.42621250689884,0.772465921290484,0.160338290556945,772.465921290484,0.0196718303528953,0.0231230286604208,48.8152827275549,7.20225482865565,0,0,6142,0
ENDOSULFAN,9.69372424168048,10.7727909441501,0.152652845138959,0.000399817257927012,0.0210717806105288,1.77577654698661e-05,21.0717806105288,0.0763264225694793,0.000346938284406724,7.10013233204459e-05,0,0.00152652845138959,0,0,0
EPTC,82.0220401438771,105.033928204646,40.0501209218535,0.160438009679419,0.156838291527781,0.000420970050782292,156.838291527781,0.00286072292298953,0.00286072292298953,0.00733518698202445,0.0138103865247771,0,0,0,0
ESFENVALERATE,27.6778845003055,171.713771113514,0.03426753253821,0.000370655777373126,0.0632376313358939,0.00045872610367863,63.2376313358939,0.3426753253821,0.126916787178556,0.00527192808280154,0.0039845968067686,0.263596404140077,0.742445041590302,0,0
ETHALFLURALIN,113.054900463537,1980.94144962557,2.01119450596256,0.108484162670171,0.188122736693025,0.00889535772710034,188.122736693025,0.0147881948967835,0.0154707269689427,0.223466056218062,0.025139931324532,0,0,0,0
ETHOPROP,1.34158523923805,0.399288920327543,16.9114371839668,0.00631456719499406,0.00442437495858143,4.29074480226695e-07,4.42437495858143,0.0528482411998963,0.084557185919834,0.000597577285652537,0,0,0,0,0
ETOFENPROX,0.00156657703005662,0.000111258192926135,6.1119619175186e-06,2.36942129588783e-09,1.96815772651256e-06,5.94918430613345e-08,0.00196815772651256,2.26368959908096e-06,5.09330159793217e-06,4.07464127834573e-08,2.350754583661e-07,2.91045805596124e-07,7.92385887375881e-06,0,0
ETOXAZOLE,35.6412422486385,296.916744284716,0.898255897697961,0.0263662008482239,0.0716891722577891,0.000550473725176971,71.6891722577891,0.000320805677749272,0.126514915168727,8.98255897697961e-05,0.0160402838874636,0,0,0,0
FENAMIDONE,1.56853965127046,0.791977334883824,0.125560125129608,0.000583096109692974,0.000577090911132173,1.13466688921936e-05,0.577090911132173,0.000169675844769741,0.000660842763840042,3.26979492525021e-05,0.000142681960374555,0,0,0,0
FENHEXAMID,50.3972223472419,9.67567154173462,36.9651818442243,0.0521497888332926,0.278132016298167,0.000448696631889091,278.132016298167,0.0275859566001674,0.00196623307682044,0.00141629049211587,0.0369651818442243,0,0,0,0
FENPROPATHRIN,70.7368295614639,478.889171529457,2.31871067870411,0.0489485484259807,0.13082504394177,0.00431661577115973,130.82504394177,1.00813507769744,4.37492580887568,0.00115935533935205,0.00231871067870411,0,0,45,0
FENPYROXIMATE,12.2724527537026,22.9051578696098,0.416208514341252,0.00209587797151499,0.0190631672165626,2.58854240333991e-05,19.0631672165626,0.396389061277383,0.126892839738187,0.0442775015256651,0.00219057112811185,0,0,0,0
FIPRONIL,0.015126624390272,0.0090137107745615,0.00285093617728672,6.77809657782267e-06,3.03320835957063e-05,3.00779959034606e-09,0.0303320835957063,1.14957103922852e-05,1.50049272488775e-05,4.19255320189224e-05,1.7818351108042e-05,0.000770523291158574,0.000856767811926701,0,0
FLONICAMID,0.17186575431584,3.93398986306493,6.51820287912128,0.0200578516183411,0.000146873489802587,9.9588197988894e-07,0.146873489802587,6.51820287912128e-05,6.51820287912128e-05,6.51820287912128e-05,5.47748141102628e-05,3.25910143956064e-05,0.000282911914879508,0,0
