hru,pesticide,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
Misc. truck crops,CLOTHIANIDIN,0.0839626401024715,0.603843817513758,0.173538452220951,0.00148924257609278,0.00013201059891875,6.86271429609716e-06,0.13201059891875,1.66543620173658e-06,4.33846130552378e-06,3.15524458583548e-06,1.43420208447067e-06,0.00598408455934314,0.00599467790352071,0,0
Misc. truck crops,CYANTRANILIPROLE,0.221494342583592,0.514793607688617,0.274649283441141,0.00115185623329285,0.000407444409068637,7.14047682877281e-06,0.407444409068637,2.17975621778684e-05,0.0137324641720571,2.11268679570109e-05,2.26982878876976e-05,3.81987876830517e-07,0.0137984688779565,0,0
Misc. truck crops,CYAZOFAMID,0.279025520691609,0.267167655906595,0.0190770083313703,5.42180883851876e-05,0.000207182165353296,4.16382559284246e-06,0.207182165353296,3.40660863060184e-05,0.000100405307007212,0.000763080333254811,0.000578091161556675,0,0,0,0
Misc. truck crops,CYCLOATE,2.64282144727577,15.1930280587464,2.43129921955934,0.0304519255143312,0.00433042789529832,0.000209463742281104,4.33042789529832,0.000540288715457631,0.000101304134148306,0.0398573642550711,0.00109271875036375,0,0,0,0
Misc. truck crops,CYFLUTHRIN,0.212573084664961,0.728853201667226,0.000390296689336603,3.30041248858642e-06,0.000346367323845956,1.4167451865679e-05,0.346367323845956,0.000830418487950219,0.00243935430835377,3.90296689336603e-08,0.000464638915876908,0.00354815172124184,0.00728260246309167,0,0
Misc. truck crops,CYPRODINIL,2.01481064645779,25.7547007397456,0.266165094467178,0.00825459440263522,0.00362313231459621,0.000803158025216925,3.62313231459621,0.000110441947911692,0.00120984133848717,0.000102371190179684,3.4522061539193e-05,0,0,0,0
Misc. truck crops,DELTAMETHRIN,1.69491801244768e-07,7.7670166141959e-08,0,0,5.8957800749278e-11,8.72674223328469e-12,5.8957800749278e-08,0,0,0,0,0,0,0,0
Misc. truck crops,DIAZINON,37.3007460009956,8.44129985953591,8.23041994874755,0.000562029979073984,0.0293628362955289,1.84909171560006e-05,29.3628362955289,0.00265497417701534,8.23041994874755,0.0012860031169918,0,0.357844345597719,0,12,0
Misc. truck crops,"DICAMBA, DIMETHYLAMINE SALT",0.0103431148026252,0.180146353843379,1.69697739322075,0.00236666895593834,1.5084420094187e-05,1.17348115316098e-07,0.015084420094187,3.47385341498618e-06,2.17143620373737e-06,1.95054872783994e-05,5.30305435381485e-05,0,0,0,0
Misc. truck crops,DIFENOCONAZOLE,0.358163944390256,0.411462036923023,0.0306187801344674,0.000106203216172042,0.000635543434068763,3.44405230861022e-05,0.635543434068763,2.78352546676977e-05,3.97646495252824e-05,0.000956836879202107,1.2247512053787e-05,3.97646495252824e-05,0.00107644894497416,0,0
Misc. truck crops,DIMETHOATE,0.797520572169182,1.59055226087728,4.9202624692056,0.00550901143591025,0.00107842212733406,1.39599271280796e-05,1.07842212733406,0.000162922598318066,0.0024601312346028,5.44276821814779e-05,5.31345839007084e-05,3.81415695287256,3.81688756897156,0,9
Misc. truck crops,DINOTEFURAN,0.0172121690224356,0.0763083457647784,0.280158553484704,0.000241838265376401,3.95843647638514e-05,6.31721688244952e-07,0.0395843647638514,2.80158553484704e-06,2.89330324780237e-07,2.80158553484704e-06,2.54689594077003e-06,0.0116732730618627,0.0116817124591979,0,0
Misc. truck crops,DIURON,48.9436034533495,144.613838998746,3.51709505853871,0.0426225909264824,0.0793232750680968,0.00327288186980866,79.3232750680968,0.000524939560975926,0.000617034220796264,1.30262779945878,0.192190986805394,0,0,7,0
Misc. truck crops,ESFENVALERATE,0.287627069849254,0.0998002557482642,4.34921621922775e-05,1.49673707566143e-08,5.83833441023695e-05,1.42189459215067e-07,0.0583833441023695,0.000434921621922775,0.00016108208219362,6.691101875735e-06,5.05722816189273e-06,0.00033455509378675,0.000942307127940772,0,0
Misc. truck crops,ETHALFLURALIN,14.1914434214869,14.295836736021,0.293128687416559,0.00158023549874832,0.028264929323084,0.000878229965773468,28.264929323084,0.00215535799570999,0.00225483605705045,0.0325698541573954,0.00366410859270699,0,0,0,0
Misc. truck crops,ETOXAZOLE,0.310663246587968,0.110822552973499,0.0129765800855959,6.41896610506242e-06,0.000461693102075991,1.28537547819086e-06,0.461693102075991,4.63449288771284e-06,0.00182768733599943,1.29765800855959e-06,0.000231724644385642,0,0,0,0
Misc. truck crops,FENAMIDONE,0.174171551174814,0.18713023042102,0.125560125129608,0.000438685624304684,0.000312613636058436,5.11880301705804e-06,0.312613636058436,0.000169675844769741,0.000660842763840042,3.26979492525021e-05,0.000142681960374555,0,0,0,0
Misc. truck crops,FENPYROXIMATE,0.322283346130866,0.263644572767879,0.00487140407609112,2.7136138194532e-06,0.000136978360857038,6.90199639875619e-07,0.136978360857038,0.00463943245342012,0.00148518416953998,0.000518234476179907,2.56389688215322e-05,0,0,0,0
Misc. truck crops,FLONICAMID,0.0211253671197368,0.139587740608409,1.49177460979117,0.000986317002344783,4.68735686258733e-05,5.89635700003682e-08,0.0468735686258733,1.49177460979117e-05,1.49177460979117e-05,1.49177460979117e-05,1.25359210906821e-05,7.45887304895585e-06,6.4748032433373e-05,0,0
Misc. truck crops,FLUBENDIAMIDE,0.640557166296454,4.57462416619646,0.0539682539011262,0.00110624961423784,0.00105140622535483,0.000123858030026086,1.05140622535483,0.000899470898352104,0.000899470898352104,0.000782148607262699,0.000988429558628685,4.54278231490961e-05,0.00361494778574469,0,0
Misc. truck crops,FLUDIOXONIL,3.15394625925399,56.9409930192253,0.00669895740002017,0.000324631020760838,0.00574537108666184,0.0020924947308177,5.74537108666184,2.91259017392181e-05,1.67473935000504e-05,0.00027912322500084,7.28147543480453e-06,0,0,0,0
Misc. truck crops,FLUMIOXAZIN,0.731227799877392,0.727118978803628,0.179485615488469,0.000461518306654901,0.00106502974431639,1.64405620492448e-05,1.06502974431639,7.80372241254214e-05,3.04212907607575e-05,0.210663867944213,0.512816044252769,0,0,0,0
Misc. truck crops,FLUOPICOLIDE,0.203466351772004,2.69102248088365,0.168739245091529,0.00560726346777089,0.00030766178009554,5.6219788944124e-05,0.30766178009554,0.000468720125254247,9.37440250508494e-05,0.00581859465832858,5.27310140911028e-05,0,0,0,0
Misc. truck crops,FLUOPYRAM,0.394873788725793,2.77197955176838,0.42580341203713,0.00455508229316761,0.00065745778685908,8.33080552764041e-05,0.65745778685908,0.000434493277588908,4.2580341203713e-06,0.00037681717879392,0.00018353595346428,0,0,0,0
Misc. truck crops,FLUPYRADIFURONE,0.256024848171377,2.90733829404189,0.710429738672553,0.0130967408632543,0.000465746892451893,4.21222067599725e-05,0.465746892451893,1.00770175698235e-05,9.15502240557414e-06,7.10429738672553e-06,1.04937922994469e-05,0,0,0,0
Misc. truck crops,FLUXAPYROXAD,0.287886065439366,1.43824130290906,0.108118354717675,0.00148191733877852,0.000527393076252322,3.60674857370868e-05,0.527393076252322,0.000232013636733208,1.59466599878577e-05,0.000154454792453822,4.93691117432306e-05,0,0,0,0
